0,640
0,3306
1,7651
1,8395
1,3414
1,6713
2,430
2,2338
2,3438
3,2751
3,299
4,2328
4,2015
4,6883
4,2173
4,3889
4,5842
5,6188
5,3639
6,9000
6,7122
6,7142
6,410
7,6977
7,6495
8,4907
8,2673
9,2993
9,6892
10,257
10,2188
10,1934
11,7390
11,1406
12,447
12,2999
13,3719
13,6555
13,5122
14,4670
14,6484
15,7452
15,7960
16,5567
16,6398
17,592
17,7491
18,7407
18,1053
19,1220
19,6106
20,5083
20,7527
20,4849
20,2071
21,6425
22,6648
22,4132
23,607
23,4902
24,1405
24,5714
24,4865
24,8950
24,8567
25,3963
25,5586
26,2225
26,6596
27,8885
27,8701
28,4773
28,6450
28,3911
29,3274
29,6909
29,2982
30,3933
30,1651
31,6533
31,6687
31,1552
32,6412
32,4353
33,854
33,9114
34,5388
34,8518
35,5544
35,6406
35,8919
36,3051
36,4545
36,7894
37,3558
37,2653
37,6927
38,64
38,6767
38,1178
39,7364
39,4653
40,3661
40,5794
41,4263
41,8078
42,3824
42,6942
42,2340
43,8249
43,6033
44,2382
44,2260
45,1820
45,716
47,8959
47,6607
47,805
48,7711
48,4463
49,864
49,349
49,7519
50,2086
50,2779
51,4489
51,7958
52,1425
52,2876
53,3125
53,333
54,769
54,5789
55,5987
55,6832
55,5825
56,4896
56,769
57,7469
57,2713
57,4564
58,337
58,8788
59,9244
59,9069
60,9281
60,4113
61,5349
61,7459
61,1557
61,2955
62,1133
62,4525
62,578
63,4609
63,8762
64,38
64,5886
65,7536
65,6736
66,9088
66,9143
66,6529
66,1734
67,417
67,1877
68,5046
68,8240
68,4536
69,5710
69,1985
70,2368
70,3781
71,5794
71,7963
72,4516
72,2228
73,1692
73,9287
74,418
74,5438
75,3378
75,6955
76,1012
76,2988
77,7406
77,1851
78,2738
78,3706
78,311
78,3205
79,7774
79,3983
79,618
80,2997
80,8751
80,2398
81,7676
82,1091
82,3079
83,4559
83,6086
84,8063
84,4779
85,5372
85,9045
85,5979
85,4991
86,1238
86,8023
87,6857
87,5185
87,2749
88,6563
89,2584
89,2103
89,7814
89,7055
90,5852
90,3207
90,1294
91,744
91,1955
92,7550
92,5581
93,647
93,4936
94,5227
95,7233
95,8011
95,8869
95,6587
95,7878
95,8012
95,8273
96,2685
96,3701
96,4592
97,1054
97,132
98,5145
98,2601
99,8722
99,7865
99,535
100,3246
100,1040
101,6879
101,6286
102,4070
102,6013
103,7418
103,446
104,7198
104,9134
104,6542
105,3047
105,8803
105,1695
106,5493
106,7821
106,7038
107,7423
107,4823
108,4552
108,3917
109,455
109,739
110,8310
110,917
111,4228
111,4235
111,7993
111,2212
111,4385
111,6810
112,3788
112,2430
112,8323
113,4705
113,7917
114,9054
114,1913
115,6025
115,2339
116,514
116,1693
117,5756
117,5181
117,3716
118,259
118,2539
119,3738
119,7907
120,4881
120,3212
120,4002
120,268
121,924
121,1443
121,8277
122,7078
122,5626
123,7661
123,6389
124,6318
124,6836
125,2921
125,1828
126,8259
126,3976
126,7770
126,2949
127,8603
127,7582
127,8588
127,5310
127,2537
127,8917
128,8570
128,485
128,3865
129,3419
129,8266
129,7848
130,1423
130,343
131,7903
132,97
132,3419
133,1724
134,3105
134,1190
134,3597
135,4583
135,4507
136,2934
136,7081
136,6451
137,1008
137,7494
138,413
138,7818
138,6569
138,3534
139,4633
140,6229
140,4702
141,8419
141,2509
142,4084
142,1566
142,6333
143,1549
144,654
144,801
144,2782
145,731
145,6714
145,1492
146,5237
146,8645
147,2052
147,3189
148,9064
148,8041
149,7160
149,2427
149,7099
149,7699
150,3009
151,8507
151,4368
151,7207
151,8766
152,8351
152,2320
153,7584
153,6055
154,4749
154,3132
155,2636
155,9044
156,3540
156,768
157,1943
157,747
157,1165
157,1893
158,5631
158,2897
159,9133
159,2321
160,8841
160,3053
161,8452
161,5497
161,223
161,5124
161,1735
161,4068
162,6599
162,2293
163,2871
163,1525
164,5581
164,3647
165,6573
165,230
166,2457
166,7911
167,4528
167,1706
167,6665
168,4136
168,2696
168,8017
169,8501
169,7329
170,6682
170,827
171,3800
171,5757
171,4146
172,2579
172,9144
173,7184
173,395
174,6270
174,4443
175,5991
175,1680
175,8936
175,5892
176,262
176,7826
176,4209
176,2463
177,1263
177,850
178,8860
178,8685
179,8586
179,2577
179,889
180,4701
180,699
